idx,tree,svg,png
1,"{1,2,5,7,9}",tree-001.svg,tree-001.png
2,"{1,2,5,7,12}",tree-002.svg,tree-002.png
3,"{1,2,5,8,9}",tree-003.svg,tree-003.png
4,"{1,2,5,8,12}",tree-004.svg,tree-004.png
5,"{1,2,5,9,10}",tree-005.svg,tree-005.png
6,"{1,2,5,9,12}",tree-006.svg,tree-006.png
7,"{1,2,5,10,12}",tree-007.svg,tree-007.png
8,"{1,2,6,7,9}",tree-008.svg,tree-008.png
9,"{1,2,6,7,12}",tree-009.svg,tree-009.png
10,"{1,2,6,8,9}",tree-010.svg,tree-010.png
11,"{1,2,6,8,12}",tree-011.svg,tree-011.png
12,"{1,2,6,9,10}",tree-012.svg,tree-012.png
13,"{1,2,6,9,12}",tree-013.svg,tree-013.png
14,"{1,2,6,10,12}",tree-014.svg,tree-014.png
15,"{1,2,7,9,10}",tree-015.svg,tree-015.png
16,"{1,2,7,10,12}",tree-016.svg,tree-016.png
17,"{1,2,8,9,10}",tree-017.svg,tree-017.png
18,"{1,2,8,10,12}",tree-018.svg,tree-018.png
19,"{1,2,9,10,12}",tree-019.svg,tree-019.png
20,"{1,4,5,7,9}",tree-020.svg,tree-020.png
21,"{1,4,5,7,12}",tree-021.svg,tree-021.png
22,"{1,4,5,8,9}",tree-022.svg,tree-022.png
23,"{1,4,5,8,12}",tree-023.svg,tree-023.png
24,"{1,4,5,9,10}",tree-024.svg,tree-024.png
25,"{1,4,5,9,12}",tree-025.svg,tree-025.png
26,"{1,4,5,10,12}",tree-026.svg,tree-026.png
27,"{1,4,6,7,9}",tree-027.svg,tree-027.png
28,"{1,4,6,7,12}",tree-028.svg,tree-028.png
29,"{1,4,6,8,9}",tree-029.svg,tree-029.png
30,"{1,4,6,8,12}",tree-030.svg,tree-030.png
31,"{1,4,6,9,10}",tree-031.svg,tree-031.png
32,"{1,4,6,9,12}",tree-032.svg,tree-032.png
33,"{1,4,6,10,12}",tree-033.svg,tree-033.png
34,"{1,4,7,9,10}",tree-034.svg,tree-034.png
35,"{1,4,7,10,12}",tree-035.svg,tree-035.png
36,"{1,4,8,9,10}",tree-036.svg,tree-036.png
37,"{1,4,8,10,12}",tree-037.svg,tree-037.png
38,"{1,4,9,10,12}",tree-038.svg,tree-038.png
39,"{1,5,7,8,9}",tree-039.svg,tree-039.png
40,"{1,5,7,8,12}",tree-040.svg,tree-040.png
41,"{1,5,7,9,12}",tree-041.svg,tree-041.png
42,"{1,5,8,9,10}",tree-042.svg,tree-042.png
43,"{1,5,8,10,12}",tree-043.svg,tree-043.png
44,"{1,5,9,10,12}",tree-044.svg,tree-044.png
45,"{1,6,7,8,9}",tree-045.svg,tree-045.png
46,"{1,6,7,8,12}",tree-046.svg,tree-046.png
47,"{1,6,7,9,12}",tree-047.svg,tree-047.png
48,"{1,6,8,9,10}",tree-048.svg,tree-048.png
49,"{1,6,8,10,12}",tree-049.svg,tree-049.png
50,"{1,6,9,10,12}",tree-050.svg,tree-050.png
51,"{1,7,8,9,10}",tree-051.svg,tree-051.png
52,"{1,7,8,10,12}",tree-052.svg,tree-052.png
53,"{1,7,9,10,12}",tree-053.svg,tree-053.png
54,"{2,3,5,7,9}",tree-054.svg,tree-054.png
55,"{2,3,5,7,12}",tree-055.svg,tree-055.png
56,"{2,3,5,8,9}",tree-056.svg,tree-056.png
57,"{2,3,5,8,12}",tree-057.svg,tree-057.png
58,"{2,3,5,9,10}",tree-058.svg,tree-058.png
59,"{2,3,5,9,12}",tree-059.svg,tree-059.png
60,"{2,3,5,10,12}",tree-060.svg,tree-060.png
61,"{2,3,6,7,9}",tree-061.svg,tree-061.png
62,"{2,3,6,7,12}",tree-062.svg,tree-062.png
