t_s,v_measured_V,is_A,i_A,q_C,v_fitted_V,residual_V
0,4.17410440849972,0.322589559150028,0.74,0,4.17410440849971,-7.99360577730113e-15
1,4.17286424670723,0.322713575329277,0.74,0.74,4.17286424670722,-1.24344978758018e-14
2,4.17163192463246,0.322836807536754,0.74,1.48,4.17163192463246,0
3,4.17040738310803,0.322959261689197,0.74,2.22,4.17040738310803,5.32907051820075e-15
4,4.16919056341308,0.323080943658692,0.74,2.96,4.16919056341307,-8.88178419700125e-15
5,4.16798140726988,0.323201859273012,0.74,3.7,4.1679814072699,2.66453525910038e-14
6,4.16677985684069,0.323322014315931,0.74,4.44,4.16677985684067,-1.68753899743024e-14
7,4.16558585472407,0.323441414527593,0.74,5.18,4.16558585472404,-2.75335310107039e-14
8,4.16439934395186,0.323560065604814,0.74,5.92,4.16439934395188,2.75335310107039e-14
9,4.16322026798602,0.323677973201398,0.74,6.66,4.16322026798602,-1.77635683940025e-15
10,4.16204857071497,0.323795142928503,0.74,7.4,4.16204857071497,-6.21724893790088e-15
11,4.16088419645075,0.323911580354925,0.74,8.14,4.16088419645073,-1.95399252334028e-14
12,4.15972708992561,0.324027291007439,0.74,8.88,4.1597270899256,-1.06581410364015e-14
13,4.15857719628897,0.324142280371103,0.74,9.62,4.15857719628897,-1.77635683940025e-15
14,4.15743446110423,0.324256553889577,0.74,10.36,4.15743446110421,-1.77635683940025e-14
15,4.15629883034552,0.324370116965448,0.74,11.1,4.15629883034553,7.105427357601e-15
16,4.15517025039489,0.324482974960511,0.74,11.84,4.15517025039486,-2.75335310107039e-14
17,4.15404866803883,0.324595133196117,0.74,12.58,4.15404866803882,-3.5527136788005e-15
18,4.15293403046562,0.324706596953438,0.74,13.32,4.15293403046563,9.76996261670138e-15
19,4.15182628526208,0.324817371473792,0.74,14.06,4.15182628526207,-8.88178419700125e-15
20,4.15072538041053,0.324927461958947,0.74,14.8,4.15072538041051,-2.57571741713036e-14
21,4.14963126428589,0.325036873571411,0.74,15.54,4.1496312642859,1.24344978758018e-14
22,4.1485438856528,0.32514561143472,0.74,16.28,4.14854388565281,7.99360577730113e-15
23,4.1474631936625,0.32525368063375,0.74,17.02,4.14746319366248,-2.04281036531029e-14
24,4.14638913784992,0.325361086215008,0.74,17.76,4.14638913784994,1.33226762955019e-14
25,4.14532166813103,0.325467833186897,0.74,18.5,4.14532166813105,1.33226762955019e-14
26,4.1442607347997,0.32557392652003,0.74,19.24,4.14426073479968,-1.95399252334028e-14
27,4.14320628852482,0.325679371147518,0.74,19.98,4.14320628852485,2.75335310107039e-14
28,4.14215828034787,0.325784171965213,0.74,20.72,4.14215828034787,-1.77635683940025e-15
29,4.14111666167955,0.325888333832045,0.74,21.46,4.14111666167955,5.32907051820075e-15
30,4.14008138429739,0.325991861570261,0.74,22.2,4.14008138429742,3.10862446895044e-14
31,4.13905240034291,0.326094759965709,0.74,22.94,4.13905240034294,3.28626015289046e-14
32,4.13802966231879,0.326197033768121,0.74,23.68,4.13802966231876,-2.1316282072803e-14
33,4.13701312308604,0.326298687691396,0.74,24.42,4.13701312308603,-7.99360577730113e-15
34,4.13600273586161,0.326399726413839,0.74,25.16,4.13600273586162,8.88178419700125e-15
35,4.13499845421549,0.326500154578451,0.74,25.9,4.1349984542155,1.33226762955019e-14
36,4.13400023206808,0.326599976793192,0.74,26.64,4.13400023206807,-3.5527136788005e-15
37,4.13300802368749,0.32669919763125,0.74,27.38,4.13300802368747,-2.39808173319034e-14
38,4.13202178368698,0.326797821631302,0.74,28.12,4.132021783687,1.86517468137026e-14
39,4.13104146702247,0.326895853297753,0.74,28.86,4.13104146702249,2.04281036531029e-14
40,4.13006702898974,0.326993297101026,0.74,29.6,4.13006702898974,-4.44089209850063e-15
41,4.12909842522191,0.327090157477809,0.74,30.34,4.12909842522192,6.21724893790088e-15
42,4.12813561168707,0.327186438831293,0.74,31.08,4.12813561168705,-1.68753899743024e-14
