t_s,v_volt,is_amp,i_amp,q_coulomb,soc_percent,v_model_volt,residual_volt,power_watt
0,4.1741044085,0.32258955915,0.74,0,100,4.1741044085,-6.60804744257e-13,3.08883726229
1,4.17286424671,0.322713575329,0.74,0.74,99.9722222222,4.17286424671,-6.59028387417e-13,3.08791954256
2,4.17163192463,0.322836807537,0.74,1.48,99.9444444444,4.17163192463,-6.41264819023e-13,3.08700762423
3,4.17040738311,0.322959261689,0.74,2.22,99.9166666667,4.17040738311,-6.30606677987e-13,3.0861014635
4,4.16919056341,0.323080943659,0.74,2.96,99.8888888889,4.16919056341,-6.37712105345e-13,3.08520101693
5,4.16798140727,0.323201859273,0.74,3.7,99.8611111111,4.16798140727,-5.96855898038e-13,3.08430624138
6,4.16677985684,0.323322014316,0.74,4.44,99.8333333333,4.16677985684,-6.34159391666e-13,3.08341709406
7,4.16558585472,0.323441414528,0.74,5.18,99.8055555556,4.16558585472,-6.40376640604e-13,3.0825335325
8,4.16439934395,0.323560065605,0.74,5.92,99.7777777778,4.16439934395,-5.79092329644e-13,3.08165551452
9,4.16322026799,0.323677973201,0.74,6.66,99.75,4.16322026799,-6.02184968557e-13,3.08078299831
10,4.16204857071,0.323795142929,0.74,7.4,99.7222222222,4.16204857071,-6.02184968557e-13,3.07991594233
11,4.16088419645,0.323911580355,0.74,8.14,99.6944444444,4.16088419645,-6.10178574334e-13,3.07905430537
12,4.15972708993,0.324027291007,0.74,8.88,99.6666666667,4.15972708993,-5.95079541199e-13,3.07819804654
13,4.15857719629,0.324142280371,0.74,9.62,99.6388888889,4.15857719629,-5.79980508064e-13,3.07734712525
14,4.1574344611,0.32425655389,0.74,10.36,99.6111111111,4.1574344611,-5.9152682752e-13,3.07650150122
15,4.15629883035,0.324370116965,0.74,11.1,99.5833333333,4.15629883034,-5.6132876125e-13,3.07566113446
16,4.15517025039,0.324482974961,0.74,11.84,99.5555555556,4.15517025039,-5.90638649101e-13,3.07482598529
17,4.15404866804,0.324595133196,0.74,12.58,99.5277777778,4.15404866804,-5.6132876125e-13,3.07399601435
18,4.15293403047,0.324706596953,0.74,13.32,99.5,4.15293403047,-5.43565192856e-13,3.07317118254
19,4.15182628526,0.324817371474,0.74,14.06,99.4722222222,4.15182628526,-5.55999690732e-13,3.07235145109
20,4.15072538041,0.324927461959,0.74,14.8,99.4444444444,4.15072538041,-5.67546010188e-13,3.0715367815
21,4.14963126429,0.325036873571,0.74,15.54,99.4166666667,4.14963126429,-5.24913446043e-13,3.07072713557
22,4.14854388565,0.325145611435,0.74,16.28,99.3888888889,4.14854388565,-5.24025267623e-13,3.06992247538
23,4.14746319366,0.325253680634,0.74,17.02,99.3611111111,4.14746319366,-5.47117906535e-13,3.06912276331
24,4.14638913785,0.325361086215,0.74,17.76,99.3333333333,4.14638913785,-5.08926234488e-13,3.06832796201
25,4.14532166813,0.325467833187,0.74,18.5,99.3055555556,4.14532166813,-5.0448534239e-13,3.06753803442
26,4.1442607348,0.32557392652,0.74,19.24,99.2777777778,4.1442607348,-5.3290705182e-13,3.06675294375
27,4.14320628852,0.325679371148,0.74,19.98,99.25,4.14320628852,-4.79616346638e-13,3.06597265351
28,4.14215828035,0.325784171965,0.74,20.72,99.2222222222,4.14215828035,-5.0359716397e-13,3.06519712746
29,4.14111666168,0.325888333832,0.74,21.46,99.1944444444,4.14111666168,-4.92939022934e-13,3.06442632964
30,4.1400813843,0.32599186157,0.74,22.2,99.1666666667,4.1400813843,-4.62740956664e-13,3.06366022438
31,4.13905240034,0.326094759966,0.74,22.94,99.1388888889,4.13905240034,-4.54747350886e-13,3.06289877625
32,4.13802966232,0.326197033768,0.74,23.68,99.1111111111,4.13802966232,-5.0448534239e-13,3.06214195012
33,4.13701312309,0.326298687691,0.74,24.42,99.0833333333,4.13701312309,-4.87609952415e-13,3.06138971108
34,4.13600273586,0.326399726414,0.74,25.16,99.0555555556,4.13600273586,-4.65405491923e-13,3.06064202454
35,4.13499845422,0.326500154578,0.74,25.9,99.0277777778,4.13499845422,-4.55635529306e-13,3.05989885612
36,4.13400023207,0.326599976793,0.74,26.64,99,4.13400023207,-4.68070027182e-13,3.05916017173
37,4.13300802369,0.326699197631,0.74,27.38,98.9722222222,4.13300802369,-4.84945417156e-13,3.05842593753
38,4.13202178369,0.326797821631,0.74,28.12,98.9444444444,4.13202178369,-4.37871960912e-13,3.05769611993
39,4.13104146702,0.326895853298,0.74,28.86,98.9166666667,4.13104146702,-4.30766533555e-13,3.0569706856
40,4.13006702899,0.326993297101,0.74,29.6,98.8888888889,4.13006702899,-4.52082815627e-13,3.05624960145
41,4.12909842522,0.327090157478,0.74,30.34,98.8611111111,4.12909842522,-4.36983782492e-13,3.05553283466
42,4.12813561169,0.327186438831,0.74,31.08,98.8333333333,4.12813561169,-4.55635529306e-13,3.05482035265
43,4.12717854469,0.327282145531,0.74,31.82,98.8055555556,4.12717854469,-4.02344824124e-13,3.05411212307
44,4.12622718085,0.327377281915,0.74,32.56,98.7777777778,4.12622718085,-4.22772927777e-13,3.05340811383
45,4.12528147713,0.327471852287,0.74,33.3,98.75,4.12528147713,-4.22772927777e-13,3.05270829308
46,4.12434139082,0.327565860918,0.74,34.04,98.7222222222,4.12434139082,-4.05897537803e-13,3.0520126292
47,4.12340687951,0.327659312049,0.74,34.78,98.6944444444,4.12340687951,-4.22772927777e-13,3.05132109084
48,4.12247790114,0.327752209886,0.74,35.52,98.6666666667,4.12247790114,-4.20996570938e-13,3.05063364684
49,4.12155441394,0.327844558606,0.74,36.26,98.6388888889,4.12155441394,-4.09450251482e-13,3.04995026631
50,4.12063637647,0.327936362353,0.74,37,98.6111111111,4.12063637647,-3.88133969409e-13,3.04927091859
51,4.11972374761,0.328027625239,0.74,37.74,98.5833333333,4.11972374761,-3.91686683088e-13,3.04859557323
52,4.11881648653,0.328118351347,0.74,38.48,98.5555555556,4.11881648653,-4.10338429901e-13,3.04792420003
53,4.11791455272,0.328208544728,0.74,39.22,98.5277777778,4.11791455272,-3.93463039927e-13,3.04725676901
54,4.11701790597,0.328298209403,0.74,39.96,98.5,4.11701790597,-3.97015753606e-13,3.04659325042
55,4.11612650639,0.328387349361,0.74,40.7,98.4722222222,4.11612650639,-4.09450251482e-13,3.04593361473
56,4.11524031437,0.328475968563,0.74,41.44,98.4444444444,4.11524031437,-3.74811293113e-13,3.04527783264
57,4.11435929062,0.328564070938,0.74,42.18,98.4166666667,4.11435929062,-3.8369307731e-13,3.04462587506
58,4.11348339611,0.328651660389,0.74,42.92,98.3888888889,4.11348339611,-3.76587649953e-13,3.04397771312
59,4.11261259215,0.328738740785,0.74,43.66,98.3611111111,4.11261259215,-3.65929508916e-13,3.04333331819
60,4.11174684032,0.328825315968,0.74,44.4,98.3333333333,4.11174684032,-3.46389583683e-13,3.04269266184
61,4.11088610248,0.328911389752,0.74,45.14,98.3055555556,4.11088610248,-3.79252185212e-13,3.04205571584
62,4.1100303408,0.32899696592,0.74,45.88,98.2777777778,4.1100303408,-3.57047724719e-13,3.04142245219
63,4.10917951771,0.329082048229,0.74,46.62,98.25,4.10917951771,-3.63264973657e-13,3.04079284311
64,4.10833359595,0.329166640405,0.74,47.36,98.2222222222,4.10833359595,-3.72146757854e-13,3.04016686101
65,4.10749253853,0.329250746147,0.74,48.1,98.1944444444,4.10749253853,-3.5527136788e-13,3.03954447851
66,4.10665630873,0.329334369127,0.74,48.84,98.1666666667,4.10665630873,-3.22408766351e-13,3.03892566846
67,4.10582487012,0.329417512988,0.74,49.58,98.1388888889,4.10582487012,-3.52606832621e-13,3.03831040389
68,4.10499818654,0.329500181346,0.74,50.32,98.1111111111,4.10499818654,-3.01092484278e-13,3.03769865804
69,4.1041762221,0.32958237779,0.74,51.06,98.0833333333,4.1041762221,-3.09086090056e-13,3.03709040435
70,4.10335894118,0.329664105882,0.74,51.8,98.0555555556,4.10335894118,-3.36619621066e-13,3.03648561648
71,4.10254630845,0.329745369155,0.74,52.54,98.0277777778,4.10254630845,-3.28626015289e-13,3.03588426825
72,4.10173828881,0.329826171119,0.74,53.28,98,4.10173828881,-3.09086090056e-13,3.03528633372
73,4.10093484746,0.329906515254,0.74,54.02,97.9722222222,4.10093484746,-3.2596148003e-13,3.03469178712
74,4.10013594984,0.329986405016,0.74,54.76,97.9444444444,4.10013594984,-3.38395977906e-13,3.03410060288
75,4.09934156165,0.330065843835,0.74,55.5,97.9166666667,4.09934156165,-3.02868841118e-13,3.03351275562
76,4.09855164887,0.330144835113,0.74,56.24,97.8888888889,4.09855164887,-2.85993451143e-13,3.03292822017
77,4.09776617772,0.330223382228,0.74,56.98,97.8611111111,4.09776617772,-3.21520587931e-13,3.03234697151
78,4.09698511468,0.330301488532,0.74,57.72,97.8333333333,4.09698511468,-2.72670774848e-13,3.03176898486
79,4.09620842647,0.330379157353,0.74,58.46,97.8055555556,4.09620842647,-3.02868841118e-13,3.03119423559
80,4.09543608008,0.330456391992,0.74,59.2,97.7777777778,4.09543608008,-3.13526982154e-13,3.03062269926
81,4.09466804275,0.330533195725,0.74,59.94,97.75,4.09466804275,-2.80664380625e-13,3.03005435163
82,4.09390428195,0.330609571805,0.74,60.68,97.7222222222,4.09390428195,-3.11750625315e-13,3.02948916864
83,4.0931447654,0.33068552346,0.74,61.42,97.6944444444,4.0931447654,-2.93987056921e-13,3.02892712639
84,4.09238946107,0.330761053893,0.74,62.16,97.6666666667,4.09238946107,-2.73558953268e-13,3.0283682012
85,4.09163833718,0.330836166282,0.74,62.9,97.6388888889,4.09163833718,-2.75335310107e-13,3.02781236952
86,4.09089136218,0.330910863782,0.74,63.64,97.6111111111,4.09089136218,-2.76223488527e-13,3.02725960801
87,4.09014850474,0.330985149526,0.74,64.38,97.5833333333,4.09014850474,-2.80664380625e-13,3.02670989351
